Airline,Source,Source Name,Destination,Destination Name,Departure Date & Time,Arrival Date & Time,Duration (hrs),Stopovers,Aircraft Type,Class,Booking Source,Base Fare (BDT),Tax & Surcharge (BDT),Total Fare (BDT),Seasonality,Days Before Departure
NovoAir,ZYL,"Osmani International Airport, Sylhet",RJH,"Shah Makhdum Airport, Rajshahi",2025-10-02 04:19:00,2025-10-02 05:28:29,1.158304767872584,Direct,Airbus A320,Economy,Travel Agency,2957.2455037974128,200.0,3157.2455037974128,Regular,85.0
IndiGo,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2025-03-02 23:51:00,2025-03-03 09:00:47,9.16314944243954,1 Stop,Airbus A350,Economy,Online Website,8703.882521338443,7305.5823782007665,16009.464899539207,Regular,50.0
Emirates,SPD,Saidpur Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-07-04 19:49:00,2025-07-04 21:59:09,2.169371484312114,Direct,Boeing 737,Economy,Direct Booking,38907.80454891278,7836.170682336918,46743.9752312497,Regular,43.0
Saudia,BZL,Barisal Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-07-20 20:50:00,2025-07-20 21:42:04,0.867798855058943,Direct,Airbus A320,First Class,Travel Agency,8457.217481070034,200.0,8657.217481070034,Regular,73.0
Vistara,BZL,Barisal Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2026-01-22 20:01:00,2026-01-22 20:31:00,0.5,Direct,Airbus A320,Business,Direct Booking,7834.315275277307,200.0,8034.315275277307,Winter Holidays,72.0
Kuwait Airways,JSR,Jessore Airport,BZL,Barisal Airport,2026-01-14 22:30:00,2026-01-14 23:00:00,0.5,Direct,Airbus A320,Economy,Direct Booking,4500.39384627324,200.0,4700.39384627324,Winter Holidays,65.0
IndiGo,BZL,Barisal Airport,ZYL,"Osmani International Airport, Sylhet",2025-02-15 19:14:00,2025-02-15 20:14:41,1.0114942346548317,Direct,Airbus A320,Economy,Direct Booking,2967.061939007605,200.0,3800.4743268091256,Regular,2.0
Biman Bangladesh Airlines,BZL,Barisal Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-08-28 16:02:00,2025-08-28 21:26:57,5.416075192637106,2 Stops,Airbus A350,Economy,Direct Booking,4526.203934322412,4678.930590148362,9205.134524470774,Regular,64.0
Cathay Pacific,BZL,Barisal Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-02-10 05:54:00,2025-02-10 06:29:28,0.5911455781831492,Direct,Airbus A320,First Class,Online Website,10157.513625580024,200.0,10357.513625580024,Regular,29.0
Lufthansa,SPD,Saidpur Airport,ZYL,"Osmani International Airport, Sylhet",2025-05-07 20:47:00,2025-05-07 21:43:27,0.9408558392325111,Direct,Airbus A320,Business,Travel Agency,6686.719974794203,200.0,6886.719974794203,Regular,16.0
Air Arabia,RJH,"Shah Makhdum Airport, Rajshahi",YYZ,Toronto Pearson International Airport,2025-09-06 14:15:00,2025-09-07 04:42:22,14.456260293280604,2 Stops,Boeing 777,Economy,Direct Booking,48121.31916675654,13218.19787501348,61339.51704177002,Regular,46.0
US-Bangla Airlines,BZL,Barisal Airport,JFK,"John F. Kennedy International Airport, New York",2025-04-09 04:44:00,2025-04-09 19:52:36,15.143492374019443,1 Stop,Airbus A350,Business,Direct Booking,83696.96080534457,18554.544120801685,102251.50492614626,Regular,42.0
Saudia,SPD,Saidpur Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-07-20 22:26:00,2025-07-21 01:34:03,3.1343829803752943,Direct,Boeing 737,Business,Direct Booking,71317.49569168541,16697.624353752813,88015.12004543823,Regular,32.0
US-Bangla Airlines,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-10-22 23:41:00,2025-10-23 08:11:43,8.512216859048564,1 Stop,Boeing 777,First Class,Direct Booking,212426.39446473328,37863.95916970999,250290.35363444328,Regular,39.0
Air Arabia,BZL,Barisal Airport,SPD,Saidpur Airport,2025-06-10 21:51:00,2025-06-10 23:01:41,1.1781878681192095,Direct,Airbus A320,Business,Direct Booking,4023.2753707301817,200.0,4223.275370730182,Regular,72.0
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2025-11-12 23:39:00,2025-11-13 08:27:39,8.810982649601065,1 Stop,Airbus A350,First Class,Travel Agency,42580.30464154392,12387.045696231587,54967.35033777551,Regular,84.0
IndiGo,JSR,Jessore Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-06-30 15:46:00,2025-06-30 16:39:02,0.8841269252981282,Direct,Airbus A320,Economy,Direct Booking,1810.5752296997975,200.0,2010.5752296997975,Regular,73.0
AirAsia,SPD,Saidpur Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-04-11 19:17:00,2025-04-11 19:47:40,0.5112609106061158,Direct,Airbus A320,First Class,Online Website,10205.088431096076,200.0,10405.088431096076,Regular,82.0
Kuwait Airways,CGP,"Shah Amanat International Airport, Chittagong",CXB,Cox's Bazar Airport,2025-03-15 08:37:00,2025-03-15 09:07:00,0.5,Direct,Airbus A320,First Class,Travel Agency,14559.8615934943,200.0,14759.8615934943,Regular,11.0
Thai Airways,RJH,"Shah Makhdum Airport, Rajshahi",JSR,Jessore Airport,2025-05-25 22:22:00,2025-05-25 22:52:00,0.5,Direct,Airbus A320,First Class,Travel Agency,10019.344452711135,200.0,10219.344452711135,Regular,7.0
Qatar Airways,CGP,"Shah Amanat International Airport, Chittagong",BKK,"Suvarnabhumi Airport, Bangkok",2025-08-17 17:17:00,2025-08-17 19:21:37,2.0770908756581314,Direct,Boeing 737,Economy,Online Website,6737.6850310376685,7010.65275465565,16498.00534283198,Regular,1.0
Etihad Airways,BZL,Barisal Airport,ZYL,"Osmani International Airport, Sylhet",2025-10-02 11:53:00,2025-10-02 12:55:07,1.0354412309420915,Direct,Airbus A320,Economy,Online Website,3200.106455425919,200.0,3400.106455425919,Regular,66.0
Emirates,BZL,Barisal Airport,CXB,Cox's Bazar Airport,2025-10-09 07:06:00,2025-10-09 07:51:28,0.7580193197881394,Direct,Airbus A320,Economy,Travel Agency,4284.355407327652,200.0,4484.355407327652,Regular,25.0
Gulf Air,CGP,"Shah Amanat International Airport, Chittagong",DOH,"Hamad International Airport, Doha",2026-01-17 06:45:00,2026-01-17 11:39:37,4.910460249695372,Direct,Boeing 737,Business,Direct Booking,91955.17625818458,17793.276438727687,109748.45269691228,Winter Holidays,51.0
Air Arabia,ZYL,"Osmani International Airport, Sylhet",CXB,Cox's Bazar Airport,2025-04-09 09:18:00,2025-04-09 10:28:34,1.1763432397770333,Direct,Airbus A320,First Class,Travel Agency,13934.087764181577,200.0,14134.087764181577,Regular,19.0
Biman Bangladesh Airlines,CXB,Cox's Bazar Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-06-30 20:31:00,2025-06-30 22:13:18,1.705229416374816,Direct,Airbus A320,First Class,Direct Booking,14754.0518380228,200.0,14954.0518380228,Regular,12.0
British Airways,CGP,"Shah Amanat International Airport, Chittagong",SPD,Saidpur Airport,2025-04-16 01:28:00,2025-04-16 02:56:17,1.471661478934187,Direct,Airbus A320,First Class,Online Website,10511.762090022286,200.0,10711.762090022286,Regular,27.0
Emirates,DAC,"Hazrat Shahjalal International Airport, Dhaka",BZL,Barisal Airport,2026-01-01 11:00:00,2026-01-01 11:30:00,0.5,Direct,Airbus A320,Business,Online Website,5545.234025928013,200.0,5745.234025928013,Winter Holidays,88.0
NovoAir,ZYL,"Osmani International Airport, Sylhet",JED,"King Abdulaziz International Airport, Jeddah",2025-12-04 17:59:00,2025-12-05 00:27:11,6.469794531972354,2 Stops,Airbus A350,Business,Online Website,86512.39621791168,16976.859432686753,103489.25565059844,Winter Holidays,77.0
Qatar Airways,SPD,Saidpur Airport,DOH,"Hamad International Airport, Doha",2025-02-19 08:02:00,2025-02-19 12:29:32,4.459100761016253,Direct,Boeing 737,First Class,Direct Booking,266054.1414325189,43908.12121487784,309962.2626473967,Regular,33.0
Turkish Airlines,JSR,Jessore Airport,SPD,Saidpur Airport,2025-03-20 15:10:00,2025-03-20 16:07:32,0.959086491892552,Direct,Airbus A320,First Class,Online Website,12856.210843623612,200.0,13056.210843623612,Regular,25.0
Cathay Pacific,RJH,"Shah Makhdum Airport, Rajshahi",DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-12-25 06:49:00,2025-12-25 07:25:50,0.6140187695910005,Direct,Airbus A320,Economy,Online Website,3127.833288998324,200.0,3327.833288998324,Winter Holidays,54.0
Saudia,DAC,"Hazrat Shahjalal International Airport, Dhaka",RJH,"Shah Makhdum Airport, Rajshahi",2025-04-19 14:13:00,2025-04-19 14:49:03,0.601001515298716,Direct,Airbus A320,Business,Travel Agency,7149.261371059764,200.0,7349.261371059764,Regular,61.0
Cathay Pacific,DAC,"Hazrat Shahjalal International Airport, Dhaka",LHR,London Heathrow Airport,2025-09-05 13:31:00,2025-09-05 22:32:53,9.031592911964124,1 Stop,Airbus A350,Economy,Direct Booking,5836.676277742385,6875.501441661358,12712.177719403742,Regular,87.0
Vistara,JSR,Jessore Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2025-08-23 14:53:00,2025-08-23 15:24:38,0.5273589765819604,Direct,Airbus A320,First Class,Travel Agency,10312.40957775083,200.0,10512.40957775083,Regular,64.0
Vistara,BZL,Barisal Airport,IST,Istanbul Airport,2025-03-29 05:17:00,2025-03-29 11:51:20,6.572326447462234,1 Stop,Boeing 777,First Class,Travel Agency,119257.48580086516,21888.622870129773,141146.10867099493,Regular,64.0
Kuwait Airways,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2025-04-04 17:16:00,2025-04-04 21:15:08,3.985703489571665,Direct,Boeing 737,First Class,Travel Agency,137556.33649442755,24633.45047416413,162189.78696859168,Regular,41.0
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",CXB,Cox's Bazar Airport,2025-10-31 01:59:00,2025-10-31 03:21:15,1.3708417210213402,Direct,Airbus A320,First Class,Direct Booking,9748.479876332056,200.0,9948.479876332056,Regular,68.0
Malaysian Airlines,SPD,Saidpur Airport,BZL,Barisal Airport,2025-07-23 22:57:00,2025-07-24 00:05:00,1.133458419455145,Direct,Airbus A320,Business,Travel Agency,8085.114017978794,200.0,8285.114017978794,Regular,23.0
US-Bangla Airlines,SPD,Saidpur Airport,RJH,"Shah Makhdum Airport, Rajshahi",2026-03-09 21:49:00,2026-03-09 22:19:14,0.5041507966727032,Direct,Airbus A320,Economy,Online Website,2605.9506746799448,200.0,2805.9506746799448,Regular,77.0
Cathay Pacific,DAC,"Hazrat Shahjalal International Airport, Dhaka",DEL,"Indira Gandhi International Airport, Delhi",2025-11-15 15:33:00,2025-11-15 17:43:55,2.1819962678420555,Direct,Boeing 737,Economy,Direct Booking,45408.05416221925,8811.208124332887,54219.26228655214,Regular,47.0
Singapore Airlines,SPD,Saidpur Airport,LHR,London Heathrow Airport,2025-05-10 09:49:00,2025-05-10 18:19:57,8.51597038893152,1 Stop,Boeing 777,Business,Travel Agency,66090.28238772665,15913.542358158997,82003.82474588565,Regular,74.0
Vistara,CXB,Cox's Bazar Airport,DXB,Dubai International Airport,2025-01-21 16:29:00,2025-01-21 21:01:48,4.546722661827419,Direct,Boeing 787,Business,Online Website,94264.56115286732,18139.6841729301,112404.24532579744,Regular,12.0
Qatar Airways,BZL,Barisal Airport,SPD,Saidpur Airport,2025-03-25 23:44:00,2025-03-26 00:58:37,1.2436312450989035,Direct,Airbus A320,Economy,Online Website,3156.090953548425,200.0,3356.090953548425,Regular,52.0
IndiGo,ZYL,"Osmani International Airport, Sylhet",BKK,"Suvarnabhumi Airport, Bangkok",2025-03-07 06:27:00,2025-03-07 08:56:59,2.499967730679725,Direct,Boeing 737,Economy,Direct Booking,33739.35492468552,11060.903238702827,44800.258163388346,Regular,42.0
Vistara,CGP,"Shah Amanat International Airport, Chittagong",JED,"King Abdulaziz International Airport, Jeddah",2025-10-29 01:40:00,2025-10-29 08:12:09,6.536028632145176,1 Stop,Airbus A350,Economy,Online Website,7530.169851817741,5129.525477772661,12659.695329590402,Regular,53.0
Qatar Airways,CGP,"Shah Amanat International Airport, Chittagong",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-11-22 16:18:00,2025-11-22 17:26:34,1.1428902703738606,Direct,Airbus A320,First Class,Direct Booking,70365.37632844651,12554.806449266976,82920.18277771349,Regular,75.0
SriLankan Airlines,CXB,Cox's Bazar Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-12-30 23:50:00,2025-12-31 01:02:40,1.2113256843967293,Direct,Airbus A320,First Class,Direct Booking,293250.7938896065,45987.61908344097,339238.41297304747,Winter Holidays,19.0
Malaysian Airlines,RJH,"Shah Makhdum Airport, Rajshahi",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-12-03 19:57:00,2025-12-03 20:32:57,0.5993745860177702,Direct,Airbus A320,Business,Online Website,60041.73643397174,11006.26046509576,71047.9968990675,Winter Holidays,57.0
Emirates,CXB,Cox's Bazar Airport,SIN,Singapore Changi Airport,2026-02-04 12:37:00,2026-02-04 15:17:53,2.6815236258791293,Direct,Boeing 737,Business,Online Website,101679.25761192646,21251.888641788966,122931.1462537154,Winter Holidays,49.0
Gulf Air,DAC,"Hazrat Shahjalal International Airport, Dhaka",RJH,"Shah Makhdum Airport, Rajshahi",2025-05-01 09:11:00,2025-05-01 09:46:59,0.5998108840801005,Direct,Airbus A320,First Class,Online Website,13367.476051068292,200.0,13567.476051068292,Regular,46.0
Qatar Airways,BZL,Barisal Airport,DEL,"Indira Gandhi International Airport, Delhi",2025-10-10 14:19:00,2025-10-10 16:51:46,2.5463563090340315,Direct,Boeing 737,First Class,Online Website,258637.7676820524,40795.665152307854,299433.4328343602,Regular,34.0
Air India,CGP,"Shah Amanat International Airport, Chittagong",DEL,"Indira Gandhi International Airport, Delhi",2025-12-16 17:34:00,2025-12-16 20:29:49,2.930330428313006,Direct,Boeing 737,Economy,Online Website,63999.137107316106,11599.870566097416,75599.00767341352,Winter Holidays,34.0
Emirates,CXB,Cox's Bazar Airport,DAC,"Hazrat Shahjalal International Airport, Dhaka",2026-01-16 05:53:00,2026-01-16 06:49:46,0.946184377673787,Direct,Airbus A320,Economy,Direct Booking,3565.6805649271614,200.0,3765.6805649271614,Winter Holidays,74.0
Malaysian Airlines,RJH,"Shah Makhdum Airport, Rajshahi",CXB,Cox's Bazar Airport,2025-10-08 14:43:00,2025-10-08 16:21:09,1.63602806318442,Direct,Airbus A320,First Class,Travel Agency,11596.263488576684,200.0,11796.263488576684,Regular,49.0
Vistara,ZYL,"Osmani International Airport, Sylhet",DOH,"Hamad International Airport, Doha",2025-02-26 11:52:00,2025-02-26 15:59:06,4.1185971696166925,1 Stop,Boeing 737,Economy,Online Website,31466.41160140137,8719.961740210205,40186.37334161157,Regular,37.0
Thai Airways,SPD,Saidpur Airport,LHR,London Heathrow Airport,2026-01-02 16:48:00,2026-01-03 01:18:14,8.504129089382985,2 Stops,Boeing 777,Economy,Direct Booking,67933.84397124892,16190.076595687338,84123.92056693626,Winter Holidays,58.0
US-Bangla Airlines,CGP,"Shah Amanat International Airport, Chittagong",LHR,London Heathrow Airport,2025-05-17 21:13:00,2025-05-18 05:34:27,8.357584480344444,1 Stop,Boeing 777,Economy,Travel Agency,11495.729127700455,7724.359369155069,23064.10619622663,Regular,3.0
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",JSR,Jessore Airport,2025-06-22 01:57:00,2025-06-22 02:29:00,0.5333591113112148,Direct,Airbus A320,Economy,Travel Agency,3927.317394880005,200.0,4127.317394880005,Regular,39.0
Air India,DAC,"Hazrat Shahjalal International Airport, Dhaka",IST,Istanbul Airport,2026-02-21 15:54:00,2026-02-21 21:55:53,6.031419371750415,1 Stop,Airbus A350,First Class,Online Website,90095.43748833724,17514.315623250586,107609.75311158782,Winter Holidays,83.0
NovoAir,RJH,"Shah Makhdum Airport, Rajshahi",IST,Istanbul Airport,2025-12-27 16:33:00,2025-12-27 23:32:11,6.986498059188442,2 Stops,Airbus A350,First Class,Online Website,38150.83984132743,9722.625976199117,47873.46581752655,Winter Holidays,6.0
Thai Airways,SPD,Saidpur Airport,DOH,"Hamad International Airport, Doha",2025-09-06 00:19:00,2025-09-06 04:33:42,4.245061640809925,1 Stop,Boeing 787,Business,Online Website,91973.37002639586,17796.00550395938,109769.37553035525,Regular,79.0
Air Astra,BZL,Barisal Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-05-15 19:58:00,2025-05-15 20:37:40,0.6613211455179142,Direct,Airbus A320,Economy,Online Website,8138.049803082804,3220.7074704624206,13630.50872825427,Regular,1.0
Lufthansa,DAC,"Hazrat Shahjalal International Airport, Dhaka",CGP,"Shah Amanat International Airport, Chittagong",2025-09-07 22:17:00,2025-09-07 23:03:35,0.7765581894832589,Direct,Airbus A320,First Class,Online Website,14160.010608071929,200.0,14360.010608071929,Regular,17.0
Qatar Airways,CGP,"Shah Amanat International Airport, Chittagong",CXB,Cox's Bazar Airport,2025-05-03 05:46:00,2025-05-03 06:16:00,0.5,Direct,Airbus A320,Business,Direct Booking,6968.000273596017,200.0,7168.000273596017,Regular,69.0
Vistara,CXB,Cox's Bazar Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-12-10 11:19:00,2025-12-10 13:13:57,1.9158954348255623,1 Stop,Boeing 787,Business,Online Website,40755.55451206191,12113.333176809288,52868.8876888712,Winter Holidays,53.0
Emirates,CGP,"Shah Amanat International Airport, Chittagong",JFK,"John F. Kennedy International Airport, New York",2025-05-27 20:22:00,2025-05-28 09:34:13,13.203615975510733,1 Stop,Boeing 777,First Class,Travel Agency,47146.14821686351,13071.922232529529,60218.07044939304,Regular,76.0
Air Astra,ZYL,"Osmani International Airport, Sylhet",IST,Istanbul Airport,2025-11-08 06:54:00,2025-11-08 13:30:37,6.610442906238553,1 Stop,Boeing 777,Business,Online Website,77489.82425076584,15623.473637614876,93113.29788838072,Regular,15.0
NovoAir,CGP,"Shah Amanat International Airport, Chittagong",JSR,Jessore Airport,2025-05-26 11:19:00,2025-05-26 12:17:51,0.9809587245460056,Direct,Airbus A320,First Class,Online Website,13855.73420460455,200.0,14055.73420460455,Regular,11.0
SriLankan Airlines,BZL,Barisal Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-09-02 18:34:00,2025-09-02 19:24:17,0.8381880275048705,Direct,Airbus A320,Economy,Direct Booking,2670.675623672521,200.0,2870.675623672521,Regular,36.0
Thai Airways,JSR,Jessore Airport,JFK,"John F. Kennedy International Airport, New York",2026-01-08 17:00:00,2026-01-09 06:02:41,13.044791403117944,1 Stop,Airbus A350,First Class,Online Website,155073.56329070337,29261.034493605504,184334.5977843089,Winter Holidays,29.0
Emirates,SPD,Saidpur Airport,CXB,Cox's Bazar Airport,2025-12-07 09:21:00,2025-12-07 10:15:47,0.9133061218285036,Direct,Airbus A320,Economy,Online Website,5268.166082208476,200.0,5468.166082208476,Winter Holidays,36.0
US-Bangla Airlines,RJH,"Shah Makhdum Airport, Rajshahi",DOH,"Hamad International Airport, Doha",2025-09-30 17:13:00,2025-09-30 21:11:19,3.972113797359302,1 Stop,Boeing 737,Economy,Online Website,23039.31788442991,7455.897682664487,30495.2155670944,Regular,6.0
Emirates,ZYL,"Osmani International Airport, Sylhet",SPD,Saidpur Airport,2025-09-18 09:53:00,2025-09-18 11:00:26,1.1240330682029278,Direct,Airbus A320,First Class,Direct Booking,10757.487607918856,200.0,10957.487607918856,Regular,87.0
British Airways,RJH,"Shah Makhdum Airport, Rajshahi",CGP,"Shah Amanat International Airport, Chittagong",2025-07-12 01:55:00,2025-07-12 03:08:56,1.2324195046063071,Direct,Airbus A320,Business,Direct Booking,6016.000407941268,200.0,6216.000407941268,Regular,76.0
Emirates,SPD,Saidpur Airport,BKK,"Suvarnabhumi Airport, Bangkok",2025-02-09 13:31:00,2025-02-09 16:51:44,3.3456182426617924,Direct,Boeing 737,Business,Online Website,36442.63538243549,11466.395307365325,47909.03068980081,Regular,32.0
Gulf Air,JSR,Jessore Airport,JED,"King Abdulaziz International Airport, Jeddah",2025-09-14 04:01:00,2025-09-14 09:37:20,5.605607861016294,1 Stop,Airbus A350,Economy,Direct Booking,13949.114537028288,6092.367180554244,20041.48171758253,Regular,16.0
Air India,BZL,Barisal Airport,DOH,"Hamad International Airport, Doha",2025-04-21 00:59:00,2025-04-21 05:15:06,4.26836789800458,Direct,Boeing 787,Business,Direct Booking,105655.13931542584,19848.270897313872,125503.41021273968,Regular,37.0
IndiGo,CXB,Cox's Bazar Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-07-14 16:03:00,2025-07-14 17:40:54,1.63170701506445,Direct,Airbus A320,Business,Travel Agency,7218.392432196881,200.0,7418.392432196881,Regular,69.0
Air India,JSR,Jessore Airport,DXB,Dubai International Airport,2025-08-29 10:36:00,2025-08-29 14:25:05,3.818317511096934,1 Stop,Boeing 787,First Class,Online Website,134743.89517504824,24211.58427625724,158955.47945130547,Regular,76.0
Vistara,DAC,"Hazrat Shahjalal International Airport, Dhaka",DEL,"Indira Gandhi International Airport, Delhi",2025-06-15 16:53:00,2025-06-15 19:15:40,2.377834117653836,Direct,Boeing 737,Economy,Direct Booking,27605.792473125297,6140.868870968794,33746.66134409409,Regular,90.0
Air Arabia,DAC,"Hazrat Shahjalal International Airport, Dhaka",CXB,Cox's Bazar Airport,2026-01-16 01:59:00,2026-01-16 03:04:27,1.0910220817741922,Direct,Airbus A320,First Class,Direct Booking,15739.616089842735,200.0,15939.616089842735,Winter Holidays,49.0
Air Arabia,SPD,Saidpur Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-12-03 04:13:00,2025-12-03 05:18:08,1.0857538017658706,Direct,Airbus A320,First Class,Online Website,59028.316461332535,10854.24746919988,69882.56393053241,Winter Holidays,28.0
Emirates,CGP,"Shah Amanat International Airport, Chittagong",CXB,Cox's Bazar Airport,2025-10-12 09:31:00,2025-10-12 10:01:00,0.5,Direct,Airbus A320,Economy,Direct Booking,3012.250778590699,200.0,3212.250778590699,Regular,40.0
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",SIN,Singapore Changi Airport,2025-10-02 20:57:00,2025-10-03 00:25:12,3.470043557139442,Direct,Boeing 787,First Class,Travel Agency,27287.15825623152,10093.073738434729,37380.23199466625,Regular,65.0
FlyDubai,SPD,Saidpur Airport,JFK,"John F. Kennedy International Airport, New York",2025-06-18 02:03:00,2025-06-18 16:38:50,14.597353222411945,1 Stop,Boeing 777,First Class,Travel Agency,199779.03805845787,35966.85570876868,235745.89376722652,Regular,56.0
Lufthansa,JSR,Jessore Airport,ZYL,"Osmani International Airport, Sylhet",2025-05-16 20:22:00,2025-05-16 21:26:55,1.0821274666732503,Direct,Airbus A320,First Class,Travel Agency,10042.486059075698,200.0,10242.486059075698,Regular,46.0
Kuwait Airways,RJH,"Shah Makhdum Airport, Rajshahi",DXB,Dubai International Airport,2025-12-01 17:56:00,2025-12-01 21:50:44,3.912495620543565,Direct,Boeing 787,Business,Travel Agency,129722.2947196862,23458.34420795293,153180.63892763914,Winter Holidays,80.0
Thai Airways,BZL,Barisal Airport,SIN,Singapore Changi Airport,2025-03-24 09:46:00,2025-03-24 12:58:55,3.215458955980803,Direct,Boeing 737,Economy,Travel Agency,10702.859991419213,7605.428998712881,18308.288990132096,Regular,7.0
Air Astra,CGP,"Shah Amanat International Airport, Chittagong",BKK,"Suvarnabhumi Airport, Bangkok",2025-07-30 13:26:00,2025-07-30 15:50:09,2.402765904872925,Direct,Boeing 787,Economy,Travel Agency,52028.69165358046,13804.30374803707,65832.99540161753,Regular,88.0
Thai Airways,ZYL,"Osmani International Airport, Sylhet",CGP,"Shah Amanat International Airport, Chittagong",2025-12-25 15:56:00,2025-12-25 16:57:34,1.0261876046844427,Direct,Airbus A320,Business,Online Website,10105.813820525953,200.0,10305.813820525953,Winter Holidays,58.0
Saudia,CXB,Cox's Bazar Airport,CGP,"Shah Amanat International Airport, Chittagong",2025-08-30 10:42:00,2025-08-30 11:12:00,0.5,Direct,Airbus A320,Economy,Online Website,3292.146167389148,200.0,3492.146167389148,Regular,22.0
Cathay Pacific,ZYL,"Osmani International Airport, Sylhet",IST,Istanbul Airport,2025-06-08 22:18:00,2025-06-09 05:18:56,7.015706574062317,2 Stops,Boeing 777,Business,Travel Agency,130510.8038946108,23576.62058419162,154087.42447880242,Hajj,90.0
US-Bangla Airlines,ZYL,"Osmani International Airport, Sylhet",DEL,"Indira Gandhi International Airport, Delhi",2025-03-21 20:23:00,2025-03-21 23:01:45,2.64594013694162,Direct,Boeing 737,First Class,Online Website,48693.1158472912,9303.96737709368,57997.08322438488,Regular,6.0
British Airways,JSR,Jessore Airport,RJH,"Shah Makhdum Airport, Rajshahi",2025-08-07 05:29:00,2025-08-07 05:59:00,0.5,Direct,Airbus A320,First Class,Direct Booking,14333.06050267232,200.0,14533.06050267232,Regular,19.0
Gulf Air,CXB,Cox's Bazar Airport,CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2026-01-14 22:46:00,2026-01-15 00:10:03,1.4008915487571123,Direct,Airbus A320,Economy,Direct Booking,44706.0848434329,8705.912726514936,53411.99756994784,Winter Holidays,87.0
Air Astra,DAC,"Hazrat Shahjalal International Airport, Dhaka",CGP,"Shah Amanat International Airport, Chittagong",2025-06-14 23:46:00,2025-06-15 00:32:33,0.7759050899877109,Direct,Airbus A320,Business,Direct Booking,6100.611226282241,200.0,6300.611226282241,Regular,85.0
British Airways,JSR,Jessore Airport,SPD,Saidpur Airport,2025-08-10 01:00:00,2025-08-10 02:02:40,1.0445438889267742,Direct,Airbus A320,Economy,Online Website,2337.5050175231936,200.0,2537.5050175231936,Regular,31.0
Turkish Airlines,ZYL,"Osmani International Airport, Sylhet",LHR,London Heathrow Airport,2026-02-26 22:24:00,2026-02-27 08:01:23,9.623277353966284,1 Stop,Airbus A350,Business,Direct Booking,131310.58828500804,25696.588242751204,157007.17652775923,Winter Holidays,77.0
Air Arabia,DAC,"Hazrat Shahjalal International Airport, Dhaka",BKK,"Suvarnabhumi Airport, Bangkok",2025-02-28 07:26:00,2025-02-28 10:08:49,2.713830895303658,Direct,Boeing 787,Economy,Travel Agency,11670.71316583222,7750.606974874833,23305.584168848465,Regular,1.0
Biman Bangladesh Airlines,CGP,"Shah Amanat International Airport, Chittagong",SIN,Singapore Changi Airport,2026-03-05 19:49:00,2026-03-05 22:58:37,3.16028900473269,Direct,Boeing 737,First Class,Travel Agency,125068.2822642998,24760.242339644967,149828.52460394477,Regular,76.0
Etihad Airways,DAC,"Hazrat Shahjalal International Airport, Dhaka",SIN,Singapore Changi Airport,2025-11-12 20:16:00,2025-11-12 23:18:16,3.0379219858117965,Direct,Boeing 787,Business,Online Website,36706.15984599366,11505.923976899048,48212.0838228927,Regular,34.0
AirAsia,RJH,"Shah Makhdum Airport, Rajshahi",SIN,Singapore Changi Airport,2025-11-08 08:07:00,2025-11-08 11:18:52,3.197874022358344,Direct,Boeing 737,Business,Travel Agency,25819.562112349355,9872.934316852405,35692.496429201754,Regular,66.0
FlyDubai,DAC,"Hazrat Shahjalal International Airport, Dhaka",CCU,"Netaji Subhas Chandra Bose International Airport, Kolkata",2025-03-23 16:01:00,2025-03-23 16:53:21,0.8726734677142344,Direct,Airbus A320,Economy,Direct Booking,65677.38687990684,11851.608031986028,93034.79389427144,Regular,1.0
Malaysian Airlines,JSR,Jessore Airport,KUL,Kuala Lumpur International Airport,2025-04-15 05:27:00,2025-04-15 08:39:02,3.2005697877795702,Direct,Boeing 787,Economy,Travel Agency,8010.743542209946,7201.611531331492,15212.35507354144,Regular,11.0
